index,Unnamed: 1_level_0_Unnamed: 1_level_1,Unnamed: 2_level_0_Unnamed: 2_level_1,Unnamed: 3_level_0_Unnamed: 3_level_1,Unnamed: 4_level_0_Unnamed: 4_level_1,Unnamed: 5_level_0_Unnamed: 5_level_1,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Unnamed: 8_level_1
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,20,2.4,48,8
,2,105B,1M,Forward 2 1/2 Somersault Pike,16.5,2.6,42.9,13
,3,203B,1M,Back 1 1/2 Somersault Pike,21,2.3,48.3,6
,4,303B,1M,Reverse 1 1/2 Somersault Pike,19,2.4,45.6,8
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,16,2.6,41.6,16
,Totals,,,,92.5,12.3,226.4,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,226.4,0
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,3
,2,105B,1M,Forward 2 1/2 Somersault Pike,16.5,2.6,42.9,8
,3,203B,1M,Back 1 1/2 Somersault Pike,20.5,2.3,47.15,4
,4,303B,1M,Reverse 1 1/2 Somersault Pike,15,2.4,36,8
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,19,2.6,49.4,4
,Totals,,,,92,12.3,452.25,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405B,3M,Inward 2 1/2 Somersault Pike,12.5,3,37.5,26
,2,107B,3M,Forward 3 1/2 Somersault Pike,17,3.1,52.7,8
,3,205B,3M,Back 2 1/2 Somersault Pike,16.5,3,49.5,15
,4,305B,3M,Reverse 2 1/2 Somersault Pike,14.5,3,43.5,18
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,19.5,3,58.5,4
,Totals,,,,80,15.1,241.7,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405B,3M,Inward 2 1/2 Somersault Pike,12,3,36,18
,2,107B,3M,Forward 3 1/2 Somersault Pike,14,3.1,43.4,14
,3,205B,3M,Back 2 1/2 Somersault Pike,18,3,54,6
,4,305B,3M,Reverse 2 1/2 Somersault Pike,21,3,63,2
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,19.5,3,58.5,6
,Totals,,,,84.5,15.1,254.9,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,254.9,0
,1,405B,3M,Inward 2 1/2 Somersault Pike,13.5,3,40.5,11
,2,107B,3M,Forward 3 1/2 Somersault Pike,16.5,3.1,51.15,7
,3,205B,3M,Back 2 1/2 Somersault Pike,15,3,45,11
,4,305B,3M,Reverse 2 1/2 Somersault Pike,19,3,57,4
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,17.5,3,52.5,8
,Totals,,,,81.5,15.1,501.05,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,401B,3M,Inward Dive Pike,38,2,45.6,4
,,401B,3M,Inward Dive Pike,,,,
,2,301B,3M,Reverse Dive Pike,35,2,42,4
,,301B,3M,Reverse Dive Pike,,,,
,3,107B,3M,Forward 3 1/2 Somersault Pike,31,3.1,57.66,3
,,107B,3M,Forward 3 1/2 Somersault Pike,,,,
,4,205B,3M,Back 2 1/2 Somersault Pike,34,3,61.2,2
,,205B,3M,Back 2 1/2 Somersault Pike,,,,
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,28.5,3,51.3,7
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,166.5,13.1,257.76,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,257.76,0
,,,0M,Carry Over from Previous Round,,,,
,1,401B,3M,Inward Dive Pike,38.5,2,46.2,3
,,401B,3M,Inward Dive Pike,,,,
,2,301B,3M,Reverse Dive Pike,36,2,43.2,3
,,301B,3M,Reverse Dive Pike,,,,
,3,107B,3M,Forward 3 1/2 Somersault Pike,21,3.1,39.06,7
,,107B,3M,Forward 3 1/2 Somersault Pike,,,,
,4,205B,3M,Back 2 1/2 Somersault Pike,32,3,57.6,3
,,205B,3M,Back 2 1/2 Somersault Pike,,,,
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,33.5,3,60.3,4
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,161,13.1,504.12,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,19.5,2.4,46.8,13
,2,105B,1M,Forward 2 1/2 Somersault Pike,21,2.6,54.6,2
,3,203B,1M,Back 1 1/2 Somersault Pike,17.5,2.3,40.25,31
,4,303B,1M,Reverse 1 1/2 Somersault Pike,21,2.4,50.4,5
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,17.5,2.6,45.5,22
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,19.5,2.6,50.7,6
,Totals,,116,14.9,288.25,,,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,22.5,2.4,54,3
,2,105B,1M,Forward 2 1/2 Somersault Pike,21.5,2.6,55.9,4
,3,203B,1M,Back 1 1/2 Somersault Pike,21,2.3,48.3,8
,4,303B,1M,Reverse 1 1/2 Somersault Pike,19.5,2.4,46.8,7
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,20,2.6,52,5
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,21.5,2.6,55.9,3
,Totals,,,,126,14.9,312.9,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,19.5,2.8,54.6,11
,2,405B,3M,Inward 2 1/2 Somersault Pike,20.5,3,61.5,6
,3,107B,3M,Forward 3 1/2 Somersault Pike,16.5,3.1,51.15,18
,4,205B,3M,Back 2 1/2 Somersault Pike,21,3,63,5
,5,305B,3M,Reverse 2 1/2 Somersault Pike,19.5,3,58.5,11
,6,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,18,3,54,14
,Totals,,,,115,17.9,342.75,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21,2.8,58.8,5
,2,405B,3M,Inward 2 1/2 Somersault Pike,18,3,54,7
,3,107B,3M,Forward 3 1/2 Somersault Pike,16.5,3.1,51.15,4
,4,205B,3M,Back 2 1/2 Somersault Pike,22,3,66,2
,5,305B,3M,Reverse 2 1/2 Somersault Pike,12,3,36,8
,6,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21,3,63,4
,Totals,,,,110.5,17.9,328.95,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,22,2.4,52.8,3
,2,105B,1M,Forward 2 1/2 Somersault Pike,21,2.6,54.6,2
,3,203B,1M,Back 1 1/2 Somersault Pike,19.5,2.3,44.85,8
,4,303B,1M,Reverse 1 1/2 Somersault Pike,19.5,2.4,46.8,8
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,20,2.6,52,3
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,21.5,2.6,55.9,2
,Totals,,,,123.5,14.9,306.95,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,306.95,0
,1,403B,1M,Inward 1 1/2 Somersault Pike,19.5,2.4,46.8,11
,2,105B,1M,Forward 2 1/2 Somersault Pike,21,2.6,54.6,2
,3,203B,1M,Back 1 1/2 Somersault Pike,22.5,2.3,51.75,6
,4,303B,1M,Reverse 1 1/2 Somersault Pike,21,2.4,50.4,6
